시간,로봇,목적지,내용,결과,소요시간,요청
2026-08-19 15:00:18,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,19초,로컬 디스플레이
2026-08-19 15:00:44,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 15:01:14,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 15:01:40,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 15:02:10,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 15:02:36,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,25초,로컬 디스플레이
2026-08-19 15:03:06,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 15:03:32,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 15:04:02,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 15:04:29,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 15:04:59,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 15:05:26,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,21초,로컬 디스플레이
2026-08-19 15:05:53,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
2026-08-19 15:06:19,robot_ec2b,로비,목적지 출발 → 목적지 도착,성공,24초,로컬 디스플레이
2026-08-19 15:06:49,robot_ec2b,Home,목적지 출발 → 목적지 도착,성공,20초,로컬 디스플레이
